date,content
05/04/2020,"('quarantine', 129)
('#covid_19', 35)
('people', 34)
('day', 31)
('trump', 30)
('i’m', 29)
('mask', 28)
('#quarantine', 22)
('it’s', 20)
('@realdonaldtrump', 17)
('fight', 13)
('love', 13)
('safe', 13)
('work', 12)
('i’ve', 12)
('stay', 12)
('social', 12)
('better', 10)
('#covid19', 10)
('drug', 10)
"
06/04/2020,"('quarantine', 111)
('mask', 29)
('day', 26)
('#covid_19', 25)
('#quarantine', 24)
('people', 24)
('i’m', 22)
('trump', 20)
('#covid19', 18)
('health', 17)
('it’s', 16)
('life', 16)
('good', 15)
('i’ve', 14)
('care', 12)
(':', 12)
('5', 12)
('quarantine.', 11)
('love', 11)
('stay', 11)
"
07/04/2020,"('quarantine', 116)
('mask', 41)
('people', 34)
('i’m', 33)
('day', 30)
('it’s', 23)
('#quarantine', 19)
('good', 13)
('#covid19', 12)
('health', 12)
('can’t', 11)
('days', 10)
('food', 10)
('death', 9)
('face', 9)
('trump', 9)
('life', 9)
('quarantine.', 9)
('making', 9)
('deaths', 9)
"
08/04/2020,"('quarantine', 124)
('i’m', 39)
('people', 36)
('mask', 33)
('it’s', 26)
('day', 22)
('stay', 16)
('deaths', 16)
('working', 14)
('can’t', 13)
('work', 12)
('#quarantine', 11)
('well', 11)
('#covid19', 11)
('quarantine.', 11)
('social', 10)
('3', 10)
('help', 10)
('good', 10)
('shit', 10)
"
09/04/2020,"('quarantine', 132)
('i’m', 38)
('mask', 37)
('day', 32)
('people', 32)
('it’s', 28)
('i’ve', 19)
('face', 19)
('cases', 18)
('#quarantine', 17)
('shit', 16)
('spread', 15)
('trump', 13)
('quarantine.', 12)
('stay', 12)
('vaccine', 11)
('started', 11)
('wearing', 11)
('social', 11)
('wear', 11)
"
10/04/2020,"('quarantine', 126)
('people', 42)
('i’m', 40)
('it’s', 36)
('good', 24)
('mask', 23)
('day', 20)
('#quarantine', 16)
('stay', 15)
('can’t', 13)
('trump', 13)
('help', 11)
(':', 11)
('friday', 11)
('today', 11)
('i’ve', 11)
('year', 11)
('cases', 10)
('work', 10)
('live', 9)
"
11/04/2020,"('quarantine', 129)
('mask', 36)
('i’m', 35)
('people', 34)
('it’s', 21)
('#quarantine', 17)
('trump', 17)
('that’s', 16)
('@realdonaldtrump', 16)
('good', 15)
('day', 15)
('quarantine.', 14)
('vaccine', 14)
('wearing', 13)
('#stayhome', 12)
('#covid19', 12)
('today', 12)
('can’t', 11)
('gonna', 11)
('health', 10)
"
12/04/2020,"('quarantine', 131)
('i’m', 41)
('easter', 40)
('people', 29)
('mask', 27)
('happy', 25)
('it’s', 22)
('@realdonaldtrump', 20)
('day', 20)
('#covid19', 15)
('patients', 14)
('i’ve', 14)
('#quarantine', 14)
('family', 13)
('today', 13)
('work', 11)
('love', 11)
('help', 10)
('best', 10)
('better', 10)
"
13/04/2020,"('quarantine', 127)
('i’m', 36)
('people', 34)
('it’s', 31)
('mask', 26)
('trump', 23)
('#covid19', 23)
('day', 20)
('best', 17)
('@realdonaldtrump', 15)
('work', 15)
('#quarantine', 14)
('i’ve', 13)
('good', 13)
('better', 12)
('wear', 12)
('help', 12)
('pandemic', 12)
('shit', 11)
('cases', 11)
"
14/04/2020,"('quarantine', 120)
('trump', 40)
('i’m', 38)
('people', 36)
('mask', 33)
('it’s', 27)
('day', 23)
('funding', 20)
('can’t', 18)
('health', 18)
('things', 14)
('#quarantine', 14)
('face', 13)
('announces', 13)
('wear', 13)
('stay', 12)
('@realdonaldtrump', 12)
('#covid19', 12)
('review', 12)
('response', 12)
"
15/04/2020,"('quarantine', 109)
('mask', 39)
('i’m', 35)
('people', 35)
('day', 29)
('it’s', 23)
('#covid19', 18)
('#quarantine', 15)
('can’t', 14)
('good', 13)
('work', 12)
('trump', 12)
('i’ve', 12)
('life', 12)
('#covid_19', 11)
('help', 11)
('lol', 11)
('vaccine', 11)
('social', 11)
('best', 10)
"
16/04/2020,"('quarantine', 116)
('#covid_19', 51)
('people', 35)
('#covid19', 27)
('mask', 25)
('i’m', 24)
('day', 22)
('vaccine', 19)
('best', 19)
('it’s', 19)
('stay', 18)
('flu', 17)
('love', 17)
('i’ve', 16)
('#quarantine', 15)
('good', 14)
('hope', 13)
('@realdonaldtrump', 13)
('phase', 12)
('y’all', 12)
"
