date,Fear,Joy,Sadness,Surprise
2020_12_17,0.542,0.216,0.128,0.114
2020_12_18,0.506426735218509,0.3676092544987147,0.07712082262210797,0.04884318766066838
2020_12_19,0.6443661971830986,0.23591549295774647,0.07746478873239436,0.04225352112676056
2020_12_20,0.6145454545454545,0.24727272727272728,0.06181818181818182,0.07636363636363637
2020_12_21,0.4928909952606635,0.4194312796208531,0.045023696682464455,0.04265402843601896
2020_12_22,0.5776805251641138,0.3479212253829322,0.037199124726477024,0.037199124726477024
2020_12_23,0.562,0.358,0.048,0.032
2020_12_24,0.692,0.23,0.028,0.05
2020_12_25,0.4883720930232558,0.35348837209302325,0.06976744186046512,0.08837209302325581
2020_12_26,0.5244444444444445,0.3511111111111111,0.05333333333333334,0.07111111111111111
2020_12_27,0.596875,0.290625,0.065625,0.046875
2020_12_28,0.6158536585365854,0.2652439024390244,0.06402439024390244,0.054878048780487805
2020_12_29,0.6254545454545455,0.24,0.05454545454545454,0.08
2020_12_30,0.46218487394957986,0.47478991596638653,0.031512605042016806,0.031512605042016806
2020_12_31,0.584375,0.3,0.065625,0.05
2021_01_01,0.6666666666666666,0.24774774774774774,0.04054054054054054,0.04504504504504504
2021_01_02,0.625,0.23076923076923078,0.09615384615384616,0.04807692307692308
2021_01_03,0.6768558951965066,0.17467248908296942,0.0611353711790393,0.08733624454148471
2021_01_04,0.71,0.16,0.046,0.084
2021_01_05,0.716,0.118,0.036,0.13
2021_01_06,0.7205128205128205,0.18974358974358974,0.035897435897435895,0.05384615384615385
2021_01_07,0.6103896103896104,0.2813852813852814,0.0735930735930736,0.03463203463203463
2021_01_08,0.6514522821576764,0.25933609958506226,0.04564315352697095,0.043568464730290454
2021_01_09,0.6305084745762712,0.2305084745762712,0.061016949152542375,0.07796610169491526
2021_01_10,0.46153846153846156,0.2455621301775148,0.1804733727810651,0.11242603550295859
2021_01_11,0.6723404255319149,0.1702127659574468,0.08085106382978724,0.07659574468085106
2021_01_12,0.5292553191489362,0.2712765957446808,0.06648936170212766,0.13297872340425532
2021_01_13,0.5988023952095808,0.26646706586826346,0.05389221556886228,0.08083832335329341
2021_01_14,0.6871657754010695,0.22994652406417113,0.0427807486631016,0.040106951871657755
2021_01_15,0.6214285714285714,0.25357142857142856,0.08928571428571429,0.03571428571428571
2021_01_16,0.5564853556485355,0.3389121338912134,0.06276150627615062,0.04184100418410042
2021_01_17,0.5294117647058824,0.3737024221453287,0.06228373702422145,0.03460207612456748
2021_01_18,0.6118881118881119,0.28321678321678323,0.05244755244755245,0.05244755244755245
2021_01_19,0.6519174041297935,0.26843657817109146,0.05014749262536873,0.029498525073746312
2021_01_20,0.5625,0.3784722222222222,0.034722222222222224,0.024305555555555556
2021_01_21,0.6349809885931559,0.29277566539923955,0.03802281368821293,0.034220532319391636
2021_01_22,0.6172506738544474,0.3045822102425876,0.05929919137466307,0.018867924528301886
2021_01_23,0.59765625,0.2890625,0.06640625,0.046875
2021_01_24,0.6556603773584906,0.22169811320754718,0.03773584905660377,0.08490566037735849
2021_01_25,0.654485049833887,0.21926910299003322,0.053156146179401995,0.07308970099667775
2021_01_26,0.7142857142857143,0.19047619047619047,0.03361344537815126,0.06162464985994398
2021_01_27,0.6974789915966386,0.21288515406162464,0.04201680672268908,0.047619047619047616
2021_01_28,0.7202797202797203,0.2097902097902098,0.04195804195804196,0.027972027972027972
2021_01_29,0.5765765765765766,0.30930930930930933,0.04504504504504504,0.06906906906906907
2021_01_30,0.6334841628959276,0.2850678733031674,0.05429864253393665,0.027149321266968326
2021_01_31,0.6742857142857143,0.18285714285714286,0.08,0.06285714285714286
2021_02_01,0.6779026217228464,0.2247191011235955,0.033707865168539325,0.06367041198501873
2021_02_02,0.6074074074074074,0.2518518518518518,0.06296296296296296,0.07777777777777778
2021_02_03,0.6111111111111112,0.29365079365079366,0.047619047619047616,0.047619047619047616
2021_02_04,0.5767790262172284,0.30711610486891383,0.0449438202247191,0.07116104868913857
2021_02_05,0.6926406926406926,0.23809523809523808,0.030303030303030304,0.03896103896103896
2021_02_06,0.6650943396226415,0.2169811320754717,0.0660377358490566,0.05188679245283019
2021_02_07,0.6548223350253807,0.2639593908629442,0.04060913705583756,0.04060913705583756
2021_02_08,0.618421052631579,0.2982456140350877,0.03508771929824561,0.04824561403508772
2021_02_09,0.5941422594142259,0.28870292887029286,0.04184100418410042,0.07531380753138076
2021_02_10,0.5964912280701754,0.2982456140350877,0.05263157894736842,0.05263157894736842
2021_02_11,0.525691699604743,0.3675889328063241,0.04743083003952569,0.05928853754940711
2021_02_12,0.5865384615384616,0.2932692307692308,0.057692307692307696,0.0625
2021_02_13,0.5263157894736842,0.26973684210526316,0.07236842105263158,0.13157894736842105
2021_02_14,0.5379310344827586,0.22758620689655173,0.0896551724137931,0.14482758620689656
2021_02_15,0.7087628865979382,0.18814432989690721,0.059278350515463915,0.04381443298969072
2021_02_16,0.672782874617737,0.21712538226299694,0.06422018348623854,0.045871559633027525
2021_02_17,0.5878594249201278,0.30990415335463256,0.04792332268370607,0.054313099041533544
2021_02_18,0.49444444444444446,0.37777777777777777,0.07222222222222222,0.05555555555555555
2021_02_19,0.4959677419354839,0.3467741935483871,0.06048387096774194,0.0967741935483871
2021_02_20,0.5897435897435898,0.25,0.07692307692307693,0.08333333333333333
2021_02_21,0.6631016042780749,0.22459893048128343,0.058823529411764705,0.053475935828877004
2021_02_22,0.5924170616113744,0.3222748815165877,0.03317535545023697,0.052132701421800945
2021_02_23,0.5311203319502075,0.29045643153526973,0.0912863070539419,0.08713692946058091
2021_02_24,0.6286764705882353,0.2977941176470588,0.04779411764705882,0.025735294117647058
2021_02_25,0.5912408759124088,0.3175182481751825,0.043795620437956206,0.04744525547445255
2021_02_26,0.6509009009009009,0.20945945945945946,0.038288288288288286,0.10135135135135136
2021_02_27,0.6130952380952381,0.24404761904761904,0.041666666666666664,0.10119047619047619
2021_02_28,0.5743243243243243,0.2905405405405405,0.033783783783783786,0.10135135135135136
2021_03_01,0.5948275862068966,0.23706896551724138,0.0603448275862069,0.10775862068965517
2021_03_02,0.5736040609137056,0.26903553299492383,0.06598984771573604,0.09137055837563451
2021_03_03,0.6019417475728155,0.2912621359223301,0.03398058252427184,0.07281553398058252
2021_03_04,0.6187845303867403,0.24861878453038674,0.04419889502762431,0.08839779005524862
