date,Fear,Joy,Sadness,Surprise
2021_05_03,0.592,0.252,0.094,0.062
2021_05_04,0.462,0.294,0.084,0.16
2021_05_05,0.48,0.362,0.078,0.08
2021_05_06,0.536,0.294,0.092,0.078
2021_05_07,0.552,0.294,0.088,0.066
2021_05_08,0.558,0.282,0.084,0.076
2021_05_09,0.566,0.288,0.072,0.074
2021_05_10,0.548,0.3,0.086,0.066
2021_05_11,0.542,0.302,0.094,0.062
2021_05_12,0.538,0.322,0.074,0.066
2021_05_13,0.508,0.336,0.088,0.068
2021_05_14,0.554,0.294,0.076,0.076
2021_05_15,0.538,0.316,0.086,0.06
2021_05_16,0.52,0.31,0.114,0.056
2021_05_17,0.544,0.304,0.092,0.06
2021_05_18,0.502,0.346,0.1,0.052
2021_05_19,0.542,0.286,0.098,0.074
2021_05_20,0.572,0.288,0.082,0.058
2021_05_21,0.54,0.31,0.082,0.068
2021_05_22,0.524,0.314,0.092,0.07
2021_05_23,0.538,0.3,0.094,0.068
2021_05_24,0.568,0.286,0.066,0.08
2021_05_25,0.538,0.308,0.074,0.08
2021_05_26,0.53,0.3,0.102,0.068
2021_05_27,0.52,0.296,0.106,0.078
2021_05_28,0.538,0.314,0.076,0.072
2021_05_29,0.542,0.294,0.102,0.062
2021_05_30,0.536,0.33,0.084,0.05
2021_05_31,0.542,0.308,0.082,0.068
2021_06_01,0.52,0.296,0.118,0.066
2021_06_02,0.524,0.318,0.09,0.068
2021_06_03,0.488,0.348,0.074,0.09
2021_06_04,0.54,0.32,0.066,0.074
2021_06_05,0.492,0.346,0.104,0.058
2021_06_06,0.52,0.33,0.092,0.058
2021_06_07,0.548,0.278,0.09,0.084
2021_06_08,0.524,0.314,0.08,0.082
2021_06_09,0.512,0.326,0.092,0.07
2021_06_10,0.47,0.364,0.076,0.09
2021_06_11,0.486,0.344,0.098,0.072
2021_06_12,0.594,0.258,0.102,0.046
2021_06_13,0.472,0.36,0.096,0.072
2021_06_14,0.47,0.374,0.08,0.076
2021_06_15,0.458,0.37,0.098,0.074
2021_06_16,0.498,0.378,0.076,0.048
2021_06_17,0.46,0.372,0.08,0.088
2021_06_18,0.44,0.3,0.186,0.074
2021_06_19,0.52,0.292,0.116,0.072
2021_06_20,0.552,0.292,0.072,0.084
2021_06_21,0.504,0.36,0.072,0.064
2021_06_22,0.528,0.334,0.072,0.066
2021_06_23,0.586,0.29,0.062,0.062
2021_06_24,0.5,0.32,0.076,0.104
2021_06_25,0.506,0.346,0.086,0.062
2021_06_26,0.532,0.308,0.09,0.07
2021_06_27,0.554,0.282,0.08,0.084
2021_06_28,0.54,0.3,0.088,0.072
2021_06_29,0.536,0.318,0.076,0.07
2021_06_30,0.482,0.362,0.086,0.07
2021_07_01,0.47,0.376,0.078,0.076
2021_07_02,0.498,0.354,0.074,0.074
2021_07_03,0.522,0.33,0.08,0.068
2021_07_04,0.514,0.33,0.084,0.072
2021_07_05,0.55,0.312,0.078,0.06
2021_07_06,0.548,0.294,0.1,0.058
2021_07_07,0.534,0.284,0.078,0.104
2021_07_08,0.538,0.304,0.096,0.062
2021_07_09,0.61,0.268,0.068,0.054
2021_07_10,0.57,0.28,0.07,0.08
2021_07_11,0.666,0.21,0.072,0.052
2021_07_12,0.52,0.3,0.084,0.096
2021_07_13,0.562,0.276,0.088,0.074
2021_07_14,0.552,0.306,0.064,0.078
2021_07_15,0.562,0.312,0.072,0.054
2021_07_16,0.548,0.302,0.08,0.07
2021_07_17,0.532,0.314,0.08,0.074
2021_07_18,0.572,0.282,0.072,0.074
2021_07_19,0.542,0.286,0.102,0.07
2021_07_20,0.552,0.298,0.078,0.072
2021_07_21,0.566,0.268,0.096,0.07
2021_07_22,0.544,0.304,0.082,0.07
2021_07_23,0.532,0.312,0.104,0.052
2021_07_24,0.504,0.314,0.112,0.07
2021_07_25,0.554,0.3,0.088,0.058
2021_07_26,0.534,0.334,0.08,0.052
2021_07_27,0.536,0.312,0.084,0.068
2021_07_28,0.564,0.308,0.082,0.046
2021_07_29,0.54,0.318,0.08,0.062
2021_07_30,0.556,0.294,0.07,0.08
2021_07_31,0.596,0.266,0.08,0.058
2021_08_01,0.572,0.304,0.078,0.046
2021_08_02,0.568,0.3,0.064,0.068
2021_08_03,0.542,0.338,0.06,0.06
2021_08_04,0.594,0.294,0.076,0.036
2021_08_05,0.55,0.302,0.086,0.062
2021_08_06,0.534,0.308,0.072,0.086
2021_08_07,0.538,0.304,0.09,0.068
2021_08_08,0.568,0.276,0.082,0.074
2021_08_09,0.54,0.318,0.08,0.062
2021_08_10,0.572,0.284,0.066,0.078
2021_08_11,0.552,0.302,0.074,0.072
2021_08_12,0.548,0.326,0.064,0.062
2021_08_13,0.526,0.336,0.072,0.066
2021_08_14,0.544,0.338,0.066,0.052
2021_08_15,0.538,0.328,0.076,0.058
2021_08_16,0.556989247311828,0.3096774193548387,0.07311827956989247,0.060215053763440864
