date,Fear,Joy,Sadness,Surprise
2021_01_31,0.494,0.228,0.152,0.126
2021_02_01,0.464,0.282,0.128,0.126
2021_02_02,0.442,0.296,0.134,0.128
2021_02_03,0.456,0.322,0.128,0.094
2021_02_04,0.478,0.276,0.12,0.126
2021_02_05,0.444,0.31,0.108,0.138
2021_02_06,0.468,0.26,0.166,0.106
2021_02_07,0.348,0.144,0.308,0.2
2021_02_08,0.432,0.296,0.122,0.15
2021_02_09,0.452,0.312,0.118,0.118
2021_02_10,0.498,0.262,0.12,0.12
2021_02_11,0.498,0.26,0.106,0.136
2021_02_12,0.402,0.342,0.13,0.126
2021_02_13,0.482,0.22,0.152,0.146
2021_02_14,0.444,0.284,0.124,0.148
2021_02_15,0.484,0.27,0.174,0.072
2021_02_16,0.45,0.3,0.13,0.12
2021_02_17,0.458,0.276,0.148,0.118
2021_02_18,0.43,0.256,0.162,0.152
2021_02_19,0.44,0.294,0.15,0.116
2021_02_20,0.468,0.268,0.146,0.118
2021_02_21,0.532,0.222,0.134,0.112
2021_02_22,0.432,0.218,0.24,0.11
2021_02_23,0.416,0.314,0.162,0.108
2021_02_24,0.438,0.328,0.138,0.096
2021_02_25,0.41,0.354,0.116,0.12
2021_02_26,0.472,0.3,0.11,0.118
2021_02_27,0.442,0.278,0.102,0.178
2021_02_28,0.49,0.294,0.112,0.104
2021_03_01,0.456,0.308,0.122,0.114
2021_03_02,0.636,0.166,0.094,0.104
2021_03_03,0.528,0.246,0.116,0.11
2021_03_04,0.448,0.33,0.106,0.116
2021_03_05,0.436,0.28,0.14,0.144
2021_03_06,0.444,0.234,0.156,0.166
2021_03_07,0.462,0.248,0.15,0.14
2021_03_08,0.484,0.326,0.082,0.108
2021_03_09,0.422,0.33,0.118,0.13
2021_03_10,0.382,0.296,0.13,0.192
2021_03_11,0.358,0.34,0.124,0.178
2021_03_12,0.428,0.304,0.118,0.15
2021_03_13,0.43,0.308,0.132,0.13
2021_03_14,0.458,0.234,0.184,0.124
2021_03_15,0.426,0.32,0.13,0.124
2021_03_16,0.432,0.34,0.112,0.116
2021_03_17,0.458,0.312,0.116,0.114
2021_03_18,0.494,0.28,0.12,0.106
2021_03_19,0.452,0.294,0.134,0.12
2021_03_20,0.41,0.232,0.202,0.156
2021_03_21,0.462,0.308,0.112,0.118
2021_03_22,0.44,0.304,0.158,0.098
2021_03_23,0.44,0.332,0.114,0.114
2021_03_24,0.398,0.36,0.116,0.126
2021_03_25,0.438,0.344,0.084,0.134
2021_03_26,0.426,0.34,0.116,0.118
2021_03_27,0.44,0.31,0.112,0.138
2021_03_28,0.524,0.248,0.12,0.108
2021_03_29,0.492,0.324,0.064,0.12
2021_03_30,0.488,0.306,0.1,0.106
2021_03_31,0.422,0.348,0.12,0.11
2021_04_01,0.448,0.296,0.13,0.126
2021_04_02,0.416,0.358,0.122,0.104
2021_04_03,0.452,0.304,0.126,0.118
2021_04_04,0.496,0.276,0.11,0.118
